constituency_name,party,mp_name,category_2024,2024,category_2029,2029
Broxbourne,CON,Lewis Cocking,Christian majority,51.50869291768567,Christian plurality,44.1134369676433
Broxtowe,LAB,Juliet Campbell,Non-religious plurality,48.90089235456851,Non-religious majority,56.962877976240364
Buckingham and Bletchley,LAB,Callum Anderson,Christian plurality,45.90762321115243,Non-religious plurality,45.90156003501249
Burnley,IND,Oliver Ryan,Christian plurality,44.69665105734168,Non-religious plurality,37.097538509426805
Burton and Uttoxeter,LAB,Jacob Collier,Christian plurality,48.91199612981442,Non-religious plurality,42.25993673186261
Bury North,LAB,James Frith,Christian majority,50.978155443081995,Christian plurality,42.576228512028855
Bury South,LAB,Christian Wakeford,Christian plurality,41.91931959589248,Non-religious plurality,35.47036567481764
Bury St Edmunds and Stowmarket,LAB,Peter Prinsley,Christian plurality,46.91502076155011,Non-religious majority,53.55454291205694
Caerfyrddin,PC,Ann Davies,Christian plurality,49.084764689137906,Non-religious majority,51.600267911340744
Caerphilly,LAB,Chris Evans,Non-religious majority,56.72426409600059,Non-religious majority,65.0878554192236
Calder Valley,LAB,Josh Fenton-Glynn,Non-religious plurality,48.1015893033526,Non-religious majority,56.61989747559314
Camborne and Redruth,LAB,Perran Moon,Non-religious majority,50.35660524177937,Non-religious majority,58.88556978082007
Cambridge,LAB,Daniel Zeichner,Non-religious plurality,47.38633077201545,Non-religious majority,51.109769120928576
Cannock Chase,LAB,Josh Newbury,Christian majority,51.69968202737686,Non-religious majority,51.21121853729904
Canterbury,IND,Rosie Duffield,Christian plurality,44.28520740682577,Non-religious majority,50.687009452978195
Cardiff East,LAB,Jo Stevens,Non-religious plurality,44.97660498512474,Non-religious majority,50.78134393054084
Cardiff North,LAB,Anna McMorrin,Non-religious plurality,45.48895922923701,Non-religious majority,52.395605664899634
Cardiff South and Penarth,LAB,Stephen Doughty,Non-religious plurality,45.91025252417294,Non-religious majority,51.22846697617563
Cardiff West,LAB,Alex Barros-Curtis,Non-religious plurality,47.20084245624992,Non-religious majority,53.621720442578244
Carlisle,LAB,Julie Minns,Christian majority,51.154877322604406,Non-religious majority,50.06942404747523
Carshalton and Wallington,LDM,Bobby Dean,Christian plurality,44.650445121525614,Non-religious plurality,39.97130445412462
Castle Point,CON,Rebecca Harris,Christian plurality,48.105737933346745,Non-religious majority,53.21139603618899
Central Devon,CON,Mel Stride,Christian plurality,46.9320951061607,Non-religious majority,54.08716635380875
Central Suffolk and North Ipswich,IND,Patrick Spencer,Christian plurality,46.876780270684485,Non-religious majority,52.78519677582544
Ceredigion Preseli,PC,Ben Lake,Christian plurality,46.49673533100551,Non-religious majority,51.59432141588093
Chatham and Aylesford,LAB,Tristan Osborne,Non-religious plurality,45.01899901839684,Non-religious majority,52.73543019173963
Cheadle,LDM,Tom Morrison,Christian plurality,47.669379738655884,Non-religious plurality,42.804969595956486
Chelmsford,LDM,Marie Goldman,Christian plurality,44.51837214049434,Non-religious majority,50.14008532721721
Chelsea and Fulham,LAB,Ben Coleman,Christian plurality,48.331590832894605,Christian plurality,43.80527786219102
Cheltenham,LDM,Max Wilkinson,Non-religious plurality,47.07849654753285,Non-religious majority,54.53301345592367
Chesham and Amersham,LDM,Sarah Green,Christian plurality,47.34706060326395,Non-religious plurality,40.74277551094069
Chester North and Neston,LAB,Samantha Dixon,Christian plurality,49.44410141623167,Non-religious plurality,49.83012327242436
Chester South and Eddisbury,CON,Aphra Brandreth,Christian majority,57.0924495722246,Christian plurality,48.75449084633561
Chesterfield,LAB,Toby Perkins,Christian plurality,46.802854833138326,Non-religious majority,54.7251404275923
Chichester,LDM,Jessica Brown-Fuller,Christian majority,50.593972054678396,Non-religious plurality,49.44642442224906
Chingford and Woodford Green,CON,Iain Duncan Smith,Christian plurality,45.14304029886523,Christian plurality,39.797998402633816
Chippenham,LDM,Sarah Gibson,Non-religious plurality,46.105496923255096,Non-religious majority,54.035496002137606
Chipping Barnet,LAB,Dan Tomlinson,Christian plurality,41.55790960030023,Christian plurality,38.02894758524131
Chorley,SPK,Lindsay Hoyle,Christian majority,58.16822448283617,Christian majority,50.138339301360645
Christchurch,CON,Christopher Chope,Christian majority,52.756481044822166,Non-religious plurality,47.054342826623895
Cities of London and Westminster,LAB,Rachel Blake,Christian plurality,36.5223980598546,Non-religious plurality,34.865437210087066
